day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
-1,0,RAINFOREST_RESIN,10002,1,9996.0,2.0,9995.0,29.0,10004,2,10005.0,29.0,0.0,0.0,10003.0,0.0
-1,100,RAINFOREST_RESIN,9996,2,9995.0,22.0,0.0,0.0,10004,2,10005.0,22.0,0.0,0.0,10000.0,0.0
-1,200,RAINFOREST_RESIN,9995,20,0.0,0.0,0.0,0.0,10005,20,0.0,0.0,0.0,0.0,10000.0,0.0
-1,300,RAINFOREST_RESIN,9996,2,9995.0,29.0,0.0,0.0,10004,2,10005.0,29.0,0.0,0.0,10000.0,0.0
-1,400,RAINFOREST_RESIN,9996,2,9995.0,25.0,0.0,0.0,10004,2,10005.0,25.0,0.0,0.0,10000.0,0.0
-1,500,RAINFOREST_RESIN,9995,30,0.0,0.0,0.0,0.0,10002,4,10005.0,30.0,0.0,0.0,9998.5,0.0
-1,600,RAINFOREST_RESIN,10000,5,9995.0,25.0,0.0,0.0,10005,25,0.0,0.0,0.0,0.0,10002.5,0.0
-1,700,RAINFOREST_RESIN,9995,23,0.0,0.0,0.0,0.0,10005,23,0.0,0.0,0.0,0.0,10000.0,0.0
-1,800,RAINFOREST_RESIN,9996,1,9995.0,29.0,0.0,0.0,10004,1,10005.0,29.0,0.0,0.0,10000.0,0.0
-1,900,RAINFOREST_RESIN,9996,1,9995.0,22.0,0.0,0.0,10004,1,10005.0,22.0,0.0,0.0,10000.0,0.0
-1,1000,RAINFOREST_RESIN,9995,26,0.0,0.0,0.0,0.0,10005,26,0.0,0.0,0.0,0.0,10000.0,0.0
-1,1100,RAINFOREST_RESIN,9996,2,9995.0,24.0,0.0,0.0,10004,2,10005.0,24.0,0.0,0.0,10000.0,0.0
-1,1200,RAINFOREST_RESIN,9995,21,0.0,0.0,0.0,0.0,9998,1,10005.0,21.0,0.0,0.0,9996.5,0.0
-1,1300,RAINFOREST_RESIN,10002,1,9996.0,1.0,9995.0,30.0,10004,1,10005.0,30.0,0.0,0.0,10003.0,0.0
-1,1400,RAINFOREST_RESIN,9996,1,9995.0,25.0,0.0,0.0,10004,1,10005.0,25.0,0.0,0.0,10000.0,2.0
-1,1500,RAINFOREST_RESIN,9995,27,0.0,0.0,0.0,0.0,10005,27,0.0,0.0,0.0,0.0,10000.0,2.0
-1,1600,RAINFOREST_RESIN,9995,29,0.0,0.0,0.0,0.0,10005,29,0.0,0.0,0.0,0.0,10000.0,2.0
-1,1700,RAINFOREST_RESIN,9996,2,9995.0,20.0,0.0,0.0,10002,1,10004.0,2.0,10005.0,20.0,9999.0,2.0
-1,1800,RAINFOREST_RESIN,10002,1,9996.0,1.0,9995.0,22.0,10004,1,10005.0,22.0,0.0,0.0,10003.0,2.0
-1,1900,RAINFOREST_RESIN,9996,1,9995.0,28.0,0.0,0.0,10004,1,10005.0,28.0,0.0,0.0,10000.0,4.0
-1,2000,RAINFOREST_RESIN,9996,2,9995.0,24.0,0.0,0.0,9998,1,10004.0,2.0,10005.0,24.0,9997.0,4.0
-1,2100,RAINFOREST_RESIN,9996,2,9995.0,25.0,0.0,0.0,10002,3,10004.0,2.0,10005.0,25.0,9999.0,4.0
-1,2200,RAINFOREST_RESIN,9998,8,9996.0,1.0,9995.0,24.0,10004,1,10005.0,24.0,0.0,0.0,10001.0,4.0
-1,2300,RAINFOREST_RESIN,9998,7,9996.0,2.0,9995.0,30.0,10004,2,10005.0,30.0,0.0,0.0,10001.0,4.0
-1,2400,RAINFOREST_RESIN,9995,29,0.0,0.0,0.0,0.0,10005,29,0.0,0.0,0.0,0.0,10000.0,4.0
-1,2500,RAINFOREST_RESIN,9996,1,9995.0,22.0,0.0,0.0,10004,1,10005.0,22.0,0.0,0.0,10000.0,4.0
-1,2600,RAINFOREST_RESIN,9995,23,0.0,0.0,0.0,0.0,10005,23,0.0,0.0,0.0,0.0,10000.0,4.0
-1,2700,RAINFOREST_RESIN,9998,6,9995.0,26.0,0.0,0.0,10005,26,0.0,0.0,0.0,0.0,10001.5,4.0
-1,2800,RAINFOREST_RESIN,9995,25,0.0,0.0,0.0,0.0,10005,25,0.0,0.0,0.0,0.0,10000.0,4.0
