day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
-1,0,KELP,2028,1,2026.0,2.0,2025.0,29.0,2029,31,0.0,0.0,0.0,0.0,2028.5,0.0
-1,100,KELP,2025,24,0.0,0.0,0.0,0.0,2028,2,2029.0,22.0,0.0,0.0,2026.5,0.0
-1,200,KELP,2025,22,0.0,0.0,0.0,0.0,2028,20,0.0,0.0,0.0,0.0,2026.5,0.0
-1,300,KELP,2025,31,0.0,0.0,0.0,0.0,2028,2,2029.0,29.0,0.0,0.0,2026.5,0.0
-1,400,KELP,2025,27,0.0,0.0,0.0,0.0,2028,27,0.0,0.0,0.0,0.0,2026.5,0.0
-1,500,KELP,2025,30,0.0,0.0,0.0,0.0,2028,30,0.0,0.0,0.0,0.0,2026.5,0.0
-1,600,KELP,2026,5,2025.0,31.0,0.0,0.0,2028,25,0.0,0.0,0.0,0.0,2027.0,0.0
-1,700,KELP,2025,2,2024.0,23.0,0.0,0.0,2028,23,0.0,0.0,0.0,0.0,2026.5,0.0
-1,800,KELP,2024,1,2023.0,29.0,0.0,0.0,2027,30,0.0,0.0,0.0,0.0,2025.5,0.0
-1,900,KELP,2024,23,0.0,0.0,0.0,0.0,2027,23,0.0,0.0,0.0,0.0,2025.5,0.0
-1,1000,KELP,2024,26,0.0,0.0,0.0,0.0,2026,6,2027.0,26.0,0.0,0.0,2025.0,0.0
-1,1100,KELP,2025,6,2024.0,26.0,0.0,0.0,2027,2,2028.0,24.0,0.0,0.0,2026.0,0.0
-1,1200,KELP,2024,21,0.0,0.0,0.0,0.0,2026,8,2028.0,21.0,0.0,0.0,2025.0,0.0
-1,1300,KELP,2024,31,0.0,0.0,0.0,0.0,2028,31,0.0,0.0,0.0,0.0,2026.0,0.0
-1,1400,KELP,2025,3,2024.0,25.0,0.0,0.0,2028,26,0.0,0.0,0.0,0.0,2026.5,0.0
-1,1500,KELP,2024,27,0.0,0.0,0.0,0.0,2028,27,0.0,0.0,0.0,0.0,2026.0,0.0
-1,1600,KELP,2024,29,0.0,0.0,0.0,0.0,2026,4,2028.0,29.0,0.0,0.0,2025.0,0.0
-1,1700,KELP,2024,22,0.0,0.0,0.0,0.0,2026,8,2028.0,22.0,0.0,0.0,2025.0,0.0
-1,1800,KELP,2024,23,0.0,0.0,0.0,0.0,2028,23,0.0,0.0,0.0,0.0,2026.0,0.0
-1,1900,KELP,2024,29,0.0,0.0,0.0,0.0,2026,5,2027.0,29.0,0.0,0.0,2025.0,0.0
-1,2000,KELP,2024,26,0.0,0.0,0.0,0.0,2027,26,0.0,0.0,0.0,0.0,2025.5,0.0
-1,2100,KELP,2024,27,0.0,0.0,0.0,0.0,2027,2,2028.0,25.0,0.0,0.0,2025.5,0.0
-1,2200,KELP,2024,25,0.0,0.0,0.0,0.0,2026,7,2027.0,1.0,2028.0,24.0,2025.0,0.0
-1,2300,KELP,2024,32,0.0,0.0,0.0,0.0,2028,32,0.0,0.0,0.0,0.0,2026.0,0.0
-1,2400,KELP,2024,29,0.0,0.0,0.0,0.0,2025,1,2028.0,29.0,0.0,0.0,2024.5,0.0
-1,2500,KELP,2025,2,2024.0,23.0,0.0,0.0,2027,1,2028.0,22.0,0.0,0.0,2026.0,0.0
-1,2600,KELP,2025,3,2024.0,23.0,0.0,0.0,2028,23,0.0,0.0,0.0,0.0,2026.5,0.0
-1,2700,KELP,2024,26,0.0,0.0,0.0,0.0,2027,26,0.0,0.0,0.0,0.0,2025.5,0.0
-1,2800,KELP,2023,25,0.0,0.0,0.0,0.0,2027,25,0.0,0.0,0.0,0.0,2025.0,0.0
-1,2900,KELP,2023,26,0.0,0.0,0.0,0.0,2027,26,0.0,0.0,0.0,0.0,2025.0,0.0
-1,3000,KELP,2024,29,0.0,0.0,0.0,0.0,2027,26,0.0,0.0,0.0,0.0,2025.5,0.0
-1,3100,KELP,2023,26,0.0,0.0,0.0,0.0,2025,5,2026.0,26.0,0.0,0.0,2024.0,0.0
-1,3200,KELP,2023,23,0.0,0.0,0.0,0.0,2025,3,2026.0,23.0,0.0,0.0,2024.0,0.0
-1,3300,KELP,2023,32,0.0,0.0,0.0,0.0,2025,2,2026.0,32.0,0.0,0.0,2024.0,0.0
-1,3400,KELP,2023,26,0.0,0.0,0.0,0.0,2026,26,0.0,0.0,0.0,0.0,2024.5,0.0
-1,3500,KELP,2023,26,0.0,0.0,0.0,0.0,2026,26,0.0,0.0,0.0,0.0,2024.5,0.0
-1,3600,KELP,2023,21,0.0,0.0,0.0,0.0,2026,21,0.0,0.0,0.0,0.0,2024.5,0.0
-1,3700,KELP,2023,27,0.0,0.0,0.0,0.0,2026,24,0.0,0.0,0.0,0.0,2024.5,0.0
